Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-09-03,-26,-1120,1146
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-09-10,-26,-951,977
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-09-17,-26,-1070,1096
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-09-24,-26,-1068,1094
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-10-08,0,-907,907
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-10-15,0,-866,866
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-10-22,0,-770,770
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-10-29,0,-729,729
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-11-05,0,-915,915
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-11-12,0,-865,865
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-11-19,0,-910,910
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-11-26,0,-1010,1010
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-12-03,0,-726,726
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-12-10,0,-881,881
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-12-17,0,-1176,1176
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-12-24,0,-1328,1328
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2019-12-31,0,-1029,1029
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-01-07,0,-1435,1435
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-01-14,0,-1360,1360
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-01-21,0,-1398,1398
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-02-04,0,-1471,1471
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-02-11,0,-1680,1680
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-02-18,0,-1408,1408
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-02-25,0,-1166,1166
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-03,0,-1582,1582
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-10,0,-1046,1046
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-17,0,-986,986
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-24,0,-872,872
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-31,0,-705,705
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-07,0,-1410,1410
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-14,0,-1506,1506
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-21,0,-1533,1533
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-28,0,-1594,1594
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-05,0,-1725,1725
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-12,31,-2331,2300
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-19,34,-2584,2550
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-26,0,-1650,1650
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-02,35,-2152,2117
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-09,32,-1943,1911
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-16,0,-1564,1564
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-23,0,-1797,1797
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-30,0,-1226,1226
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-07,0,-1485,1485
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-14,0,-1310,1310
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-21,0,-1700,1700
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-28,111,-3244,3133
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-04,177,-3255,3078
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-11,137,-3081,2944
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-18,200,-3550,3350
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-25,175,-2157,1982
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-01,183,-2559,2376
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-08,100,-2310,2210
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-15,67,-2880,2813
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-22,67,-2476,2409
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-29,-70,-2051,2121
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-06,-70,-2135,2205
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-13,-70,-2405,2475
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-20,-42,-2661,2703
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-27,261,-3323,3062
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-03,96,-3076,2980
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-10,52,-2296,2244
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-17,98,-2511,2413
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-24,135,-2452,2317
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-01,129,-3002,2873
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-08,325,-3222,2897
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-15,432,-2960,2528
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-21,475,-3690,3215
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-29,388,-2833,2445
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-05,416,-2985,2569
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-12,290,-3333,3043
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-19,346,-3129,2783
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-26,361,-2781,2420
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-02,255,-2674,2419
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-09,176,-2844,2668
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-16,145,-2893,2748
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-23,101,-2085,1984
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-02,215,-1851,1636
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-09,150,-1913,1763
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-16,314,-2652,2338
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-23,371,-2405,2034
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-30,295,-2215,1920
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-06,300,-2292,1992
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-13,340,-2465,2125
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-20,331,-2272,1941
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-27,255,-1909,1654
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-04,346,-1764,1418
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-11,607,-1938,1331
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-18,-15,-959,974
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-25,415,-1672,1257
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-01,320,-1442,1122
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-08,103,-1181,1078
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-15,489,-1609,1120
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-22,503,-1528,1025
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-29,545,-1345,800
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-06,450,-1271,821
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-13,441,-1167,726
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-20,496,-1192,696
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-27,628,-1572,944
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-03,446,-1290,844
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-10,88,-1104,1016
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-17,-321,-726,1047
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-24,-29,-1114,1143
